cluster,degree,betweenness,large_neighbor_count,train_n
cube3_cluster0,3,0.0,3,268
cube4_cluster0,6,0.03050595238095238,5,983
cube5_cluster0,8,0.007909798534798534,3,516
cube5_cluster1,3,0.0,1,6
cube6_cluster0,3,0.0,2,11
cube6_cluster1,3,0.0,2,15
cube6_cluster2,3,0.0,1,5
cube6_cluster3,3,0.0,2,4
cube9_cluster0,1,0.0,0,7
cube12_cluster0,5,0.018139439982693767,4,316
cube13_cluster0,10,0.06829064645546931,7,1173
cube13_cluster1,1,0.0,1,3
cube14_cluster0,16,0.20713648571348856,5,644
cube15_cluster0,5,0.0009615384615384616,2,42
cube15_cluster1,5,0.012855131145051586,3,11
cube15_cluster2,1,0.0,1,4
cube18_cluster0,0,0.0,0,7
cube18_cluster1,1,0.0,0,4
cube18_cluster2,0,0.0,0,4
cube19_cluster0,1,0.0,0,6
cube19_cluster1,0,0.0,0,6
cube19_cluster2,1,0.0,0,4
cube22_cluster0,5,0.034299109926581736,4,44
cube23_cluster0,8,0.1547560207207589,5,226
cube23_cluster1,3,0.0,2,15
cube24_cluster0,6,0.11923241514020538,4,111
cube24_cluster1,3,0.0,2,4
cube24_cluster2,1,0.0,1,4
cube32_cluster0,5,0.06312480975774287,3,41
cube33_cluster0,8,0.17134390324438267,3,169
cube34_cluster0,5,0.09041109469018203,4,80
cube42_cluster0,6,0.09574732206836134,3,32
cube42_cluster1,0,0.0,0,3
cube43_cluster0,8,0.14160022323938734,2,144
cube44_cluster0,5,0.0993912367435334,3,35
cube50_cluster0,4,0.025758851550883578,2,16
cube50_cluster1,3,0.0,2,3
cube51_cluster0,13,0.2661619426575533,2,138
cube52_cluster0,5,0.0734958724582298,3,25
cube52_cluster1,4,0.00019230769230769233,2,9
cube57_cluster0,5,0.045852985944884676,3,32
cube57_cluster1,2,0.0,1,5
cube58_cluster0,11,0.12789170943632175,3,194
cube58_cluster1,2,0.0,1,5
cube58_cluster2,0,0.0,0,5
cube59_cluster0,3,0.0,3,6
cube59_cluster1,7,0.0942333482305382,4,54
cube59_cluster2,2,0.0,1,10
cube59_cluster3,5,0.04166939228569131,4,4
cube65_cluster0,5,0.026396762561046394,3,52
cube65_cluster1,2,0.0,2,5
cube65_cluster2,2,0.0,2,4
cube66_cluster0,14,0.16057369586097126,3,381
cube67_cluster0,9,0.08761287491131578,3,152
cube67_cluster1,1,0.0,0,4
cube67_cluster2,3,0.0,2,6
cube67_cluster3,0,0.0,0,1
cube68_cluster0,2,0.0,1,5
cube72_cluster0,6,0.021866120999130483,2,77
cube72_cluster1,2,0.0,2,4
cube73_cluster0,13,0.06629855518503548,2,327
cube74_cluster0,6,0.01760455458506482,3,95
cube77_cluster0,3,0.0,1,15
cube77_cluster1,3,0.0,1,2
cube78_cluster0,5,0.0008012820512820513,1,39
cube78_cluster1,2,0.0,1,5
