cluster,degree,component_size,train_n,roundtrip_accuracy,live_speed_error
cube3_cluster0,3,56,268,0.3656716417910448,4.704188123239228
cube4_cluster0,6,56,983,0.41810783316378436,5.318119956606117
cube5_cluster0,8,56,516,0.3643410852713178,6.0642782862119535
cube5_cluster1,3,56,6,0.5,4.769829454240918
cube6_cluster0,3,56,11,0.8181818181818182,6.507708212324608
cube6_cluster1,3,56,15,0.8,5.335145097657564
cube6_cluster2,3,56,5,0.6,5.3354466986950495
cube6_cluster3,3,56,4,1.0,8.436443923491886
cube9_cluster0,1,2,7,0.8571428571428571,27.5690103505517
cube12_cluster0,5,56,316,0.30063291139240506,5.034649816630525
cube13_cluster0,10,56,1173,0.14492753623188406,5.043759880211971
cube13_cluster1,1,56,3,1.0,6.225551033190116
cube14_cluster0,16,56,644,0.2593167701863354,5.136635966770916
cube15_cluster0,5,56,42,0.30952380952380953,5.27070694578409
cube15_cluster1,5,56,11,0.2727272727272727,6.466365462145717
cube15_cluster2,1,56,4,1.0,5.191705822875157
cube18_cluster0,0,1,7,1.0,43.585815476190476
cube18_cluster1,1,2,4,1.0,52.76925593899278
cube18_cluster2,0,1,4,1.0,38.40168121279387
cube19_cluster0,1,2,6,0.6666666666666666,31.07554667554668
cube19_cluster1,0,1,6,1.0,32.43162393162393
cube19_cluster2,1,2,4,0.0,
cube22_cluster0,5,56,44,0.8181818181818182,4.842729417314775
cube23_cluster0,8,56,226,0.42035398230088494,4.952817438742339
cube23_cluster1,3,56,15,0.7333333333333333,5.019207944425799
cube24_cluster0,6,56,111,0.6216216216216216,4.746779982532476
cube24_cluster1,3,56,4,1.0,5.219022746577093
cube24_cluster2,1,56,4,1.0,5.278181116632725
cube32_cluster0,5,56,41,0.4634146341463415,4.675666225720346
cube33_cluster0,8,56,169,0.28994082840236685,4.897529283645115
cube34_cluster0,5,56,80,0.6,4.795536229692052
cube42_cluster0,6,56,32,0.59375,5.246423593952399
cube42_cluster1,0,1,3,1.0,4.943796932302508
cube43_cluster0,8,56,144,0.4027777777777778,5.2397690674336985
cube44_cluster0,5,56,35,0.6857142857142857,5.217980807668291
cube50_cluster0,4,56,16,0.6875,5.819378759764218
cube50_cluster1,3,56,3,1.0,6.423547221493722
cube51_cluster0,13,56,138,0.2971014492753623,4.937524767106328
cube52_cluster0,5,56,25,0.52,5.353673471724768
cube52_cluster1,4,56,9,0.8888888888888888,4.82627268278714
cube57_cluster0,5,56,32,0.40625,6.588858406262047
cube57_cluster1,2,56,5,1.0,5.725669358329111
cube58_cluster0,11,56,194,0.2268041237113402,6.302456382116088
cube58_cluster1,2,56,5,0.0,
cube58_cluster2,0,1,5,1.0,5.463126664227244
cube59_cluster0,3,56,6,1.0,5.4538030598140335
cube59_cluster1,7,56,54,0.5555555555555556,5.594272802007767
cube59_cluster2,2,56,10,0.8,7.686266053964597
cube59_cluster3,5,56,4,1.0,6.039982132961251
cube65_cluster0,5,56,52,0.5192307692307693,8.699207017106675
cube65_cluster1,2,56,5,1.0,9.783590772333618
cube65_cluster2,2,56,4,1.0,11.438160900936406
cube66_cluster0,14,56,381,0.2178477690288714,7.003068961312919
cube67_cluster0,9,56,152,0.3815789473684211,6.91126248080884
cube67_cluster1,1,56,4,1.0,9.757893143436124
cube67_cluster2,3,56,6,1.0,7.184762744941914
cube67_cluster3,0,1,1,1.0,10.331197589098531
cube68_cluster0,2,56,5,0.8,7.609564050355777
cube72_cluster0,6,56,77,0.37662337662337664,11.126414597654199
cube72_cluster1,2,56,4,1.0,15.74482627949248
cube73_cluster0,13,56,327,0.16819571865443425,9.067954264206216
cube74_cluster0,6,56,95,0.3684210526315789,7.865609134436353
cube77_cluster0,3,56,15,0.6,10.878609730831828
cube77_cluster1,3,56,2,1.0,14.977080657590548
cube78_cluster0,5,56,39,0.5641025641025641,11.676840791977385
cube78_cluster1,2,56,5,1.0,8.484439243819343
