scope,kind,twonn,mle,n
all,real,6.760324679386698,6.263769636294126,3943
CH,real,7.058499900910036,6.880695227798623,540
CU,real,6.69535389849991,5.7904823092385165,358
FC,real,7.317004337949432,6.717681011800372,356
FF,real,7.098460537947673,6.712668138022313,757
SI,real,7.196054446864574,6.7713536468995565,570
SL,real,7.280404348998758,5.951572577789343,572
ST,real,7.807840961540238,6.88177989806248,356
all,null_gauss,8.263885906481153,7.823586201524831,3943
all,null_shuffle,7.89865134176953,7.296049145646193,3943
CH,null_shuffle,8.06293740218805,7.945251904657991,540
CU,null_shuffle,7.176357452574519,6.898247237826195,358
FC,null_shuffle,8.64076805407498,7.921586726919138,356
FF,null_shuffle,8.25450916665041,8.101010092995908,757
SI,null_shuffle,8.675863690945343,8.171034927195997,570
SL,null_shuffle,7.935517898153207,7.250500144067649,572
ST,null_shuffle,8.375851793222798,7.854243741082319,356
all,null_shuffle_spinpair,7.555418313927691,7.050547293090825,3943
CH,null_shuffle_spinpair,7.983798370080464,7.401049644874778,540
CU,null_shuffle_spinpair,7.356393513880407,6.333460518873822,358
FC,null_shuffle_spinpair,8.901017533038509,7.664872150166957,356
FF,null_shuffle_spinpair,7.604281020264782,7.411036057721904,757
SI,null_shuffle_spinpair,7.906598217060807,7.4313486140833405,570
SL,null_shuffle_spinpair,8.235217548133235,7.255816875862816,572
ST,null_shuffle_spinpair,7.781384687873622,7.405285261498216,356
all,null_gauss,8.211509785595474,7.740329391201814,3943
all,null_shuffle,7.963723594836421,7.407885927108724,3943
CH,null_shuffle,8.76902403703788,7.8618855592409975,540
CU,null_shuffle,7.974885818354261,6.996083732921499,358
FC,null_shuffle,7.768577804228011,7.6345322873936965,356
FF,null_shuffle,9.339625462641141,8.37164938974497,757
SI,null_shuffle,8.55691725713494,8.27014280931276,570
SL,null_shuffle,8.302789248091898,7.240901011253145,572
ST,null_shuffle,7.901518486312139,7.778219715634948,356
all,null_shuffle_spinpair,7.595222423935002,7.055700701074515,3943
CH,null_shuffle_spinpair,7.502453796617108,7.167929040263234,540
CU,null_shuffle_spinpair,7.005378358162316,6.2196827071576815,358
FC,null_shuffle_spinpair,8.040420823890317,7.626340413040704,356
FF,null_shuffle_spinpair,8.129992459446965,7.576807229906713,757
SI,null_shuffle_spinpair,7.6320817290044,7.16147298949502,570
SL,null_shuffle_spinpair,7.141897501497056,7.302771355362636,572
ST,null_shuffle_spinpair,8.202406108685532,7.388016046739541,356
all,null_gauss,8.177021048907548,7.852284140406884,3943
all,null_shuffle,8.005903112159247,7.365712375796073,3943
CH,null_shuffle,8.923336993565432,8.075188660868875,540
CU,null_shuffle,8.375749992603724,6.8270946578048335,358
FC,null_shuffle,8.541524997683153,7.543403991411495,356
FF,null_shuffle,8.537930185807847,8.442748496683349,757
SI,null_shuffle,7.8187752666042,8.152475631980044,570
SL,null_shuffle,8.14897236949027,7.285324462700018,572
ST,null_shuffle,7.974224152394951,7.759660815242551,356
all,null_shuffle_spinpair,7.558832193979779,7.1321182592540735,3943
CH,null_shuffle_spinpair,7.5459461762535875,7.188299613220229,540
CU,null_shuffle_spinpair,7.611686878180185,6.67161075411395,358
FC,null_shuffle_spinpair,8.15743243198693,7.465253968216156,356
FF,null_shuffle_spinpair,8.05342550258328,7.583145472094256,757
SI,null_shuffle_spinpair,7.433355186756989,7.370691998936738,570
SL,null_shuffle_spinpair,7.655665097430483,6.997123652749318,572
ST,null_shuffle_spinpair,8.057418045501187,7.4014447461524,356
all,null_gauss,8.451537243587856,7.799862231064668,3943
all,null_shuffle,7.939970904375437,7.35720752899993,3943
CH,null_shuffle,8.028382469093742,7.758860468128692,540
CU,null_shuffle,7.110417351947788,7.3997459661121034,358
FC,null_shuffle,8.044655613515054,7.7031384469446555,356
FF,null_shuffle,8.277513634790328,7.97622188065561,757
SI,null_shuffle,8.24584304747178,7.82920193186546,570
SL,null_shuffle,8.212408135925031,7.452497234503103,572
ST,null_shuffle,8.34625773631277,8.068629954259052,356
all,null_shuffle_spinpair,7.363925817023376,7.037616052083119,3943
CH,null_shuffle_spinpair,7.482030408507852,7.171762847392949,540
CU,null_shuffle_spinpair,7.798676963376837,6.175052989805122,358
FC,null_shuffle_spinpair,7.822987757010446,7.539109024020919,356
FF,null_shuffle_spinpair,7.493335640855412,7.493799666544119,757
SI,null_shuffle_spinpair,7.870117690835051,7.448623706260338,570
SL,null_shuffle_spinpair,7.808532605756996,7.141698244078437,572
ST,null_shuffle_spinpair,7.65833856257042,7.203611906446436,356
all,null_gauss,8.318859482343234,7.907269823613951,3943
all,null_shuffle,7.734409097550365,7.367851179691651,3943
CH,null_shuffle,8.036570954424873,8.125009988573435,540
CU,null_shuffle,7.341386236307074,6.781764454929618,358
FC,null_shuffle,8.173794490120155,7.883570345257144,356
FF,null_shuffle,9.463887440288817,8.37211062856509,757
SI,null_shuffle,8.894065719763665,8.114326864861834,570
SL,null_shuffle,8.096822037142571,7.4085960362398104,572
ST,null_shuffle,8.392740739543811,7.998107575897025,356
all,null_shuffle_spinpair,7.550769263363596,7.071796719123564,3943
CH,null_shuffle_spinpair,7.784089462100289,7.413139142791287,540
CU,null_shuffle_spinpair,7.208406627431055,6.482745632318423,358
FC,null_shuffle_spinpair,8.00966614399651,7.466500320109733,356
FF,null_shuffle_spinpair,7.649487380190707,7.518986773637002,757
SI,null_shuffle_spinpair,7.73005220734319,7.474324554395728,570
SL,null_shuffle_spinpair,7.915820429839146,7.113802925461221,572
ST,null_shuffle_spinpair,8.619252664440912,7.675654350097686,356
