kind,n_cubes,perc_overlap,eps,graph_b1,nerve_b1
saved_model,10,0.3,1.0,86,1
grid,8,0.2,0.8,40,3
grid,8,0.2,1.0,41,2
grid,8,0.2,1.2,45,0
grid,8,0.3,0.8,78,3
grid,8,0.3,1.0,48,0
grid,8,0.3,1.2,53,0
grid,8,0.4,0.8,87,0
grid,8,0.4,1.0,62,0
grid,8,0.4,1.2,74,0
grid,10,0.2,0.8,33,2
grid,10,0.2,1.0,59,4
grid,10,0.2,1.2,68,0
grid,10,0.3,0.8,72,0
grid,10,0.3,1.0,86,1
grid,10,0.3,1.2,76,0
grid,10,0.4,0.8,120,1
grid,10,0.4,1.0,87,0
grid,10,0.4,1.2,98,0
grid,12,0.2,0.8,37,4
grid,12,0.2,1.0,79,4
grid,12,0.2,1.2,87,3
grid,12,0.3,0.8,73,1
grid,12,0.3,1.0,102,2
grid,12,0.3,1.2,112,1
grid,12,0.4,0.8,147,2
grid,12,0.4,1.0,146,0
grid,12,0.4,1.2,134,2
null_gauss,10,0.3,1.0,97,6
null_shuffle,10,0.3,1.0,56,1
null_gauss,10,0.3,1.0,56,3
null_shuffle,10,0.3,1.0,61,0
null_gauss,10,0.3,1.0,56,3
null_shuffle,10,0.3,1.0,80,2
null_gauss,10,0.3,1.0,93,9
null_shuffle,10,0.3,1.0,73,2
null_gauss,10,0.3,1.0,63,2
null_shuffle,10,0.3,1.0,57,2
