pitch_type,num_pitchers,total_pitches,avg_consistency_score,std_consistency_score,min_consistency_score,max_consistency_score,avg_entropy,avg_num_clusters,avg_concentration
PO,1,6,33.33,0.0,33.33,33.33,1.561,5.0,33.33
SV,4,84,15.48,8.29,12.5,33.33,2.375,14.0,19.2
SL,76,3748,15.0,7.27,7.5,50.0,2.712,21.9,16.9
CU,31,1685,14.96,7.34,9.09,41.67,2.757,23.4,16.99
FC,41,2897,14.91,5.25,9.2,33.33,2.842,26.1,16.85
FF,103,8831,14.9,5.28,8.33,42.86,2.969,28.7,15.86
ST,49,2398,14.68,8.73,9.17,50.0,2.719,22.6,18.2
SI,82,4087,14.48,7.65,8.33,50.0,2.666,21.7,17.21
CH,52,2438,14.4,5.83,8.33,40.0,2.68,21.2,16.39
FS,22,1747,14.08,3.18,9.47,20.0,3.064,30.6,14.75
CS,1,36,13.89,0.0,13.89,13.89,2.899,22.0,13.89
KC,4,300,12.66,2.11,11.36,16.67,3.12,32.0,13.55
FA,1,64,10.94,0.0,10.94,10.94,3.232,32.0,10.94
