pitcher_id,pitch_type,pitch_count,num_clusters,top_cluster,top_cluster_pct,top_3_clusters_pct,top_5_clusters_pct,concentration,entropy,consistency_score,num_clusters_used,cluster_rank1,cluster_rank1_pct,cluster_rank2,cluster_rank2_pct,cluster_rank3,cluster_rank3_pct
434378,CH,21,14,cube4_cluster0,19.05,42.86,57.13999999999999,19.05,2.4910574769568457,19.05,14,cube4_cluster0,19.05,cube14_cluster0,14.29,cube15_cluster0,9.52
434378,CU,22,18,cube4_cluster0,9.09,27.27,40.91,9.09,2.84026844408468,9.09,18,cube4_cluster0,9.09,cube5_cluster0,9.09,cube3_cluster0,9.09
434378,FF,41,20,cube4_cluster0,21.95,39.03,53.67,21.95,2.720235362947437,21.95,20,cube4_cluster0,21.95,cube5_cluster0,9.76,cube14_cluster0,7.32
434378,SL,46,20,cube4_cluster0,13.04,32.61,47.83,13.04,2.8126206955753332,13.04,20,cube4_cluster0,13.04,cube22_cluster0,10.87,cube6_cluster3,8.7
434378,ST,9,7,cube4_cluster0,33.33,55.55,77.77,33.33,1.8309373740652377,33.33,7,cube4_cluster0,33.33,cube5_cluster0,11.11,cube57_cluster1,11.11
455119,FC,18,12,cube4_cluster0,33.33,50.0,61.120000000000005,33.33,2.2169256437927163,33.33,12,cube4_cluster0,33.33,cube12_cluster0,11.11,cube6_cluster2,5.56
455119,FF,24,13,cube4_cluster0,20.83,41.66,58.31999999999999,20.83,2.4167854604179286,20.83,13,cube4_cluster0,20.83,cube24_cluster2,12.5,cube22_cluster0,8.33
455119,FS,18,14,cube23_cluster1,16.67,38.89,50.010000000000005,16.67,2.5541607717860315,16.67,14,cube23_cluster1,16.67,cube24_cluster2,11.11,cube23_cluster0,11.11
455119,SI,6,5,cube58_cluster0,33.33,66.67,100.01,33.33,1.560812674895181,33.33,5,cube58_cluster0,33.33,cube5_cluster0,16.67,cube43_cluster0,16.67
472610,FF,7,7,cube3_cluster0,14.29,42.87,71.44999999999999,14.29,1.9461938771045295,14.29,7,cube3_cluster0,14.29,cube22_cluster0,14.29,cube13_cluster0,14.29
472610,FS,7,7,cube5_cluster0,14.29,42.87,71.44999999999999,14.29,1.9461938771045295,14.29,7,cube5_cluster0,14.29,cube6_cluster0,14.29,cube66_cluster0,14.29
472610,SI,7,6,cube23_cluster1,28.57,57.15,85.72999999999999,28.57,1.748067149102356,28.57,6,cube23_cluster1,28.57,cube72_cluster0,14.29,cube67_cluster0,14.29
