pitcher_id,total_pitches,num_pitch_types,avg_consistency_score,min_consistency_score,max_consistency_score,std_consistency_score,avg_entropy,avg_num_clusters,avg_concentration
642048,52,4,32.69,16.67,50.0,14.88,1.703,8.2,35.42
687377,56,4,26.79,17.86,42.86,8.88,1.974,9.8,29.46
689254,24,2,25.0,18.75,37.5,9.38,2.03,9.0,28.12
455119,66,4,24.24,16.67,33.33,7.44,2.187,11.0,26.04
622379,146,4,23.98,16.67,40.0,8.99,2.221,14.8,24.94
672282,60,3,23.33,16.67,41.67,11.19,2.266,12.7,25.93
621381,112,5,20.54,11.43,28.57,6.03,2.39,14.2,19.43
663423,64,5,20.31,12.5,25.0,5.27,2.113,9.8,20.83
642100,40,2,20.0,12.5,25.0,6.25,2.535,14.5,18.75
669711,136,5,19.85,12.5,37.5,8.31,2.472,16.4,23.04
606930,184,2,19.56,12.5,21.05,4.28,3.085,32.0,16.77
685126,175,4,19.43,10.2,25.97,5.87,2.767,23.2,17.38
642152,119,5,19.33,16.67,25.0,3.07,2.497,14.4,19.42
685801,78,4,19.23,16.67,21.43,2.06,2.254,12.8,17.86
676092,172,3,19.19,15.79,22.06,2.82,2.876,26.0,19.76
622554,120,4,19.17,16.67,33.33,6.54,2.475,16.8,22.19
640462,147,3,19.05,14.29,20.0,2.5,2.82,23.0,17.78
657585,64,3,18.75,12.5,37.5,10.39,2.395,14.3,23.61
666619,80,2,18.75,17.19,25.0,3.9,2.59,18.5,21.09
623474,54,2,18.52,14.29,33.33,9.52,2.525,17.0,23.81
621053,66,5,18.18,12.5,25.0,4.44,2.156,10.0,18.61
678215,224,4,17.86,16.07,25.0,3.38,2.806,24.5,19.33
673513,152,4,17.77,16.67,25.0,3.45,2.729,21.2,19.1
668909,300,4,17.67,10.0,19.19,3.68,3.047,29.2,14.77
640451,114,3,17.54,16.67,19.44,1.31,2.685,20.0,17.59
666171,40,3,17.5,15.0,25.0,4.12,2.085,9.7,19.58
674285,63,3,17.46,11.9,42.86,12.95,2.305,14.0,25.4
678606,126,4,17.46,9.52,35.71,9.96,2.489,17.5,19.05
434378,139,5,17.26,9.09,33.33,8.33,2.539,15.8,19.29
623149,105,2,17.15,14.29,22.86,4.28,2.967,27.0,18.57
679885,105,3,17.15,14.29,20.0,2.36,2.739,19.3,16.87
571927,424,4,16.98,16.07,31.25,6.39,2.923,29.8,20.21
680767,101,3,16.83,15.15,18.0,1.16,2.762,20.3,16.61
628317,238,5,16.8,8.57,28.57,6.39,2.828,24.0,18.17
642397,114,2,16.67,10.0,19.05,4.53,3.048,28.5,14.53
663574,72,3,16.67,12.5,33.33,9.0,2.44,16.0,20.83
668933,18,1,16.67,16.67,16.67,0.0,2.448,13.0,16.67
676395,72,3,16.67,16.67,16.67,0.0,2.648,17.3,16.67
676684,126,3,16.67,14.29,17.58,1.55,2.656,21.0,15.39
643511,36,2,16.66,10.71,37.5,13.4,2.205,12.5,24.11
683769,85,2,16.47,14.29,26.67,6.19,2.628,20.0,20.48
621345,152,3,16.45,13.75,25.0,4.77,2.852,24.0,18.47
671922,73,2,16.44,16.36,16.67,0.16,2.765,20.5,16.52
678020,140,3,16.43,14.29,17.35,1.44,2.643,20.0,15.31
607259,552,6,16.31,14.29,19.7,1.83,3.077,33.5,16.74
676254,80,2,16.25,13.89,18.18,2.14,2.676,19.0,16.04
667755,360,5,16.11,14.29,25.0,3.8,2.9,27.2,17.83
656731,656,5,16.01,12.5,18.75,2.33,3.094,35.0,15.92
656427,665,4,15.94,11.9,18.41,2.33,3.252,40.5,14.85
688297,88,3,15.91,15.0,18.75,1.64,2.752,19.3,16.46
702352,120,4,15.83,8.33,20.31,5.0,2.712,19.0,13.67
669062,76,3,15.79,13.89,18.75,1.99,2.711,17.7,16.44
472610,70,4,15.72,14.29,28.57,6.18,2.161,11.5,17.86
666277,128,5,15.62,10.42,25.0,4.91,2.535,15.6,18.12
605447,154,2,15.58,12.7,17.58,2.44,3.149,33.5,15.14
608371,77,3,15.58,12.24,28.57,6.7,2.479,16.0,19.95
573124,90,2,15.56,13.33,16.67,1.67,3.027,26.5,15.0
607625,510,8,15.49,9.26,19.61,2.9,2.959,27.1,14.82
571946,84,3,15.48,14.29,28.57,6.73,2.558,17.3,19.05
695243,84,2,15.48,14.29,28.57,7.14,2.473,20.0,21.43
681867,176,4,15.34,8.75,25.0,6.19,2.637,20.0,18.75
666214,368,4,15.22,12.5,25.0,5.0,2.772,27.8,16.61
663947,112,3,15.18,10.71,19.64,4.21,2.907,22.0,13.69
592426,66,3,15.15,11.11,33.33,10.47,2.499,15.3,18.52
608718,66,3,15.15,11.11,22.22,4.8,2.679,16.7,15.55
600917,126,5,15.08,12.24,28.57,5.88,2.425,15.2,17.69
547973,80,2,15.0,13.89,25.0,5.56,2.467,17.5,19.45
702674,280,4,15.0,13.33,18.18,1.84,3.075,29.5,15.45
668716,161,3,14.91,11.43,28.57,7.01,2.791,24.7,19.68
681676,128,2,14.84,9.38,20.31,5.46,3.172,31.5,14.84
656730,102,2,14.71,13.89,16.67,1.39,2.976,26.0,15.28
686563,616,5,14.61,11.31,19.78,3.09,3.25,38.8,15.12
518397,48,2,14.59,8.33,16.67,4.17,2.666,16.5,12.5
657514,96,4,14.59,9.38,18.75,4.06,2.504,14.2,14.85
642207,144,2,14.58,11.36,19.64,4.14,3.204,33.0,15.5
668674,48,3,14.58,8.33,33.33,10.39,2.335,12.7,19.44
686993,144,3,14.58,11.11,26.67,7.24,2.846,24.0,16.44
808967,679,7,14.58,10.92,38.1,8.57,2.751,27.3,17.45
608331,784,7,14.54,11.54,22.22,3.26,3.081,34.0,14.81
592332,696,3,14.51,10.29,17.0,2.79,3.422,49.0,14.0
606303,90,4,14.44,12.5,33.33,8.44,2.376,15.2,18.96
681190,620,6,14.36,8.79,17.98,3.04,3.146,35.2,14.18
687396,216,3,14.35,12.5,17.5,2.12,2.998,26.7,14.61
621363,119,2,14.29,14.29,14.29,0.0,3.165,30.0,14.29
656234,28,2,14.29,14.29,14.29,0.0,2.285,11.0,14.29
660825,112,3,14.29,12.5,16.67,1.78,2.903,22.0,14.21
666200,665,5,14.29,11.69,16.02,1.44,3.268,39.0,13.88
641816,498,4,14.26,12.3,19.05,2.41,3.259,38.8,15.58
518585,120,4,14.17,12.5,16.67,2.09,2.562,17.0,14.59
608717,120,4,14.17,12.12,16.67,1.97,2.527,17.0,15.53
682120,92,4,14.13,11.11,17.86,2.57,2.663,17.0,14.12
669060,448,6,14.06,9.52,28.57,6.54,2.958,29.8,16.03
641793,492,5,14.02,8.33,20.83,4.66,3.224,35.4,13.92
672335,222,5,13.97,10.42,16.67,2.24,2.811,22.6,13.91
680885,792,6,13.89,9.17,17.5,2.99,3.309,39.7,13.57
684007,703,5,13.66,9.47,25.0,6.07,2.875,30.4,16.46
641835,272,2,13.6,12.5,13.79,0.64,3.296,37.5,13.14
683409,140,3,13.57,10.71,14.29,1.69,2.948,24.3,13.1
676974,736,5,13.45,9.09,20.83,4.15,3.312,40.6,14.13
694297,637,5,13.34,10.95,19.05,3.4,3.322,40.0,14.01
596001,60,3,13.33,10.0,25.0,6.14,2.345,13.3,17.22
641302,498,5,13.26,9.2,26.67,6.22,3.171,36.0,15.23
689690,208,4,12.98,12.5,13.46,0.42,2.851,24.2,12.74
519151,264,4,12.88,10.71,18.75,3.17,3.067,29.8,13.88
