pitcher_id,pitch_a,cluster_a,pitch_b,cluster_b,same_cluster
445276,FC,cube13_cluster0,SI,cube13_cluster0,True
445276,SL,cube58_cluster0,ST,cube58_cluster0,True
445926,CH,cube13_cluster0,FC,cube23_cluster0,False
445926,CH,cube13_cluster0,SI,cube13_cluster0,True
445926,CU,cube73_cluster0,SL,cube66_cluster0,False
445926,FC,cube23_cluster0,SI,cube13_cluster0,False
448179,CH,cube12_cluster0,FC,cube23_cluster0,False
448179,CH,cube12_cluster0,FF,cube13_cluster0,True
448179,CH,cube12_cluster0,SI,cube13_cluster0,True
448179,FC,cube23_cluster0,FF,cube13_cluster0,False
448179,FC,cube23_cluster0,SI,cube13_cluster0,False
448179,FF,cube13_cluster0,SI,cube13_cluster0,True
450203,CH,cube23_cluster1,FF,cube13_cluster0,False
450203,CH,cube23_cluster1,SI,cube13_cluster0,False
450203,FF,cube13_cluster0,SI,cube13_cluster0,True
453286,CH,cube13_cluster0,FC,cube23_cluster0,False
453286,CH,cube13_cluster0,FF,cube13_cluster0,True
453286,FC,cube23_cluster0,FF,cube13_cluster0,False
453286,FC,cube23_cluster0,SL,cube43_cluster0,False
455119,FC,cube23_cluster0,FF,cube13_cluster0,False
455119,FC,cube23_cluster0,FS,cube13_cluster0,False
455119,FC,cube23_cluster0,SI,cube13_cluster0,False
455119,FF,cube13_cluster0,FS,cube13_cluster0,True
455119,FF,cube13_cluster0,SI,cube13_cluster0,True
455119,FS,cube13_cluster0,SI,cube13_cluster0,True
458677,FC,cube22_cluster0,FF,cube12_cluster0,False
458677,FC,cube22_cluster0,FS,cube12_cluster0,False
458677,FC,cube22_cluster0,SL,cube32_cluster0,False
458677,FF,cube12_cluster0,FS,cube12_cluster0,True
471911,CH,cube12_cluster0,FF,cube13_cluster0,True
471911,CH,cube12_cluster0,SI,cube13_cluster0,True
471911,CU,cube66_cluster0,ST,cube66_cluster0,True
471911,FF,cube13_cluster0,SI,cube13_cluster0,True
472610,FF,cube13_cluster0,FS,cube12_cluster0,True
472610,FF,cube13_cluster0,SI,cube4_cluster0,True
472610,FS,cube12_cluster0,SI,cube4_cluster0,True
476594,FF,cube14_cluster0,SI,cube14_cluster0,True
477132,FF,cube13_cluster0,FS,cube3_cluster0,False
477132,FF,cube13_cluster0,SI,cube14_cluster0,False
477132,FF,cube13_cluster0,SL,cube33_cluster0,False
477132,FS,cube3_cluster0,SI,cube14_cluster0,False
489119,CH,cube12_cluster0,FC,cube22_cluster0,False
489119,CH,cube12_cluster0,FF,cube12_cluster0,True
489119,CH,cube12_cluster0,SI,cube12_cluster0,True
489119,CU,cube65_cluster0,ST,cube57_cluster0,True
489119,FC,cube22_cluster0,FF,cube12_cluster0,False
489119,FC,cube22_cluster0,SI,cube12_cluster0,False
489119,FF,cube12_cluster0,SI,cube12_cluster0,True
489119,SL,cube42_cluster0,ST,cube57_cluster0,False
489446,FF,cube13_cluster0,FS,cube13_cluster0,True
493603,FF,cube5_cluster0,SI,cube14_cluster0,True
500779,CH,cube13_cluster0,FF,cube13_cluster0,True
500779,CH,cube13_cluster0,SI,cube13_cluster0,True
500779,CU,cube66_cluster0,SV,cube66_cluster0,True
500779,FF,cube13_cluster0,SI,cube13_cluster0,True
502043,CH,cube13_cluster0,FF,cube13_cluster0,True
502043,CH,cube13_cluster0,SI,cube13_cluster0,True
502043,CU,cube66_cluster0,SL,cube58_cluster0,True
502043,CU,cube66_cluster0,ST,cube66_cluster0,True
502043,FF,cube13_cluster0,SI,cube13_cluster0,True
502043,SL,cube58_cluster0,ST,cube66_cluster0,True
502085,CH,cube13_cluster0,FC,cube23_cluster0,False
502085,CH,cube13_cluster0,SI,cube13_cluster0,True
502085,FC,cube23_cluster0,SI,cube13_cluster0,False
502085,KC,cube66_cluster0,SL,cube58_cluster0,False
506433,CH,cube13_cluster0,FC,cube24_cluster0,False
506433,CH,cube13_cluster0,FF,cube14_cluster0,True
506433,CH,cube13_cluster0,FS,cube13_cluster0,True
506433,CH,cube13_cluster0,PO,cube14_cluster0,True
506433,CH,cube13_cluster0,SI,cube14_cluster0,True
506433,CU,cube73_cluster0,KC,cube73_cluster0,True
506433,CU,cube73_cluster0,ST,cube67_cluster0,False
506433,FC,cube24_cluster0,FF,cube14_cluster0,False
506433,FC,cube24_cluster0,FS,cube13_cluster0,False
